Timestamp,OD,electrical conductivity,fluorescence,Hum%RH,Dirt1,AD Value1,Dirt2,AD Value2,Excel标签: dm_air,Excel标签: m_ls_opt_do,Excel标签: m_ph,Excel标签: m_stirrer,Excel标签: m_temp,Excel标签: dm_o2,Excel标签: dm_spump1,Excel标签: dm_spump2,Excel标签: dm_spump3,Excel标签: dm_spump4
2025-06-27T21:37:16.796,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:37:18.426,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:37:19.931,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:37:21.529,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:37:23.137,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:37:24.789,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:37:26.290,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:37:27.826,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:37:29.511,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:37:31.056,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:37:32.730,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:37:34.353,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:37:36.252,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:37:37.756,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:37:39.318,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:37:40.863,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
2025-06-27T21:37:42.672,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.0001,6.5,0.0001,27.07,0.0001,0.0001,0.0001,0.0001,0.0001,
