Timestamp,OD,electrical conductivity,fluorescence,Hum%RH,Dirt1,AD Value1,Dirt2,AD Value2
2025-06-24T07:55:41.206,0.0,0.0,76,0.186,0,176,0,182,
2025-06-24T07:55:41.527,0.0,65.272,76,0.186,0,176,0,179,
2025-06-24T07:55:41.832,0.0,61.096,76,0.186,0,176,0,178,
2025-06-24T07:55:42.137,0.0,59.042,76,0.186,0,176,0,176,
2025-06-24T07:55:42.441,0.0,62.426,76,0.186,0,176,0,180,
2025-06-24T07:55:42.746,0.0,65.594,76,0.186,0,176,0,179,
2025-06-24T07:55:43.051,0.0,68.455,76,0.186,0,176,0,181,
2025-06-24T07:55:43.370,0.0,69.891,76,0.186,0,176,0,181,
2025-06-24T07:55:43.676,0.0,65.581,76,0.186,0,176,0,177,
2025-06-24T07:55:43.979,0.0,61.016,76,0.186,0,176,0,176,
2025-06-24T07:55:44.284,0.0,58.948,76,0.186,0,176,0,177,
2025-06-24T07:55:44.590,0.0,64.252,76,0.186,0,176,0,176,
2025-06-24T07:55:44.895,0.0,67.354,76,0.186,0,176,0,176,
2025-06-24T07:55:45.199,0.0,68.361,76,0.186,0,176,0,180,
2025-06-24T07:55:45.504,0.0,69.757,76,0.186,0,176,0,180,
2025-06-24T07:55:45.809,0.0,65.514,76,0.186,0,176,0,175,
2025-06-24T07:55:46.113,0.0,61.069,76,0.186,0,180,0,176,
2025-06-24T07:55:46.418,0.0,59.028,76,0.186,0,176,0,180,
2025-06-24T07:55:46.721,0.0,112.956,76,0.186,0,176,0,182,
2025-06-24T07:55:47.027,0.0,89.144,76,0.186,0,176,0,177,
2025-06-24T07:55:47.331,0.0,64.655,76,0.186,0,176,0,181,
2025-06-24T07:55:47.636,0.0,66.293,76,0.186,0,176,0,181,
2025-06-24T07:55:47.943,0.0,68.468,76,0.186,0,176,0,180,
2025-06-24T07:55:48.263,0.0,70.898,76,0.186,0,176,0,179,
2025-06-24T07:55:48.567,0.0,72.147,76,0.186,0,180,0,175,
2025-06-24T07:55:48.872,0.0,67.528,76,0.186,0,176,0,178,
2025-06-24T07:55:49.193,0.0,63.271,76,0.186,0,180,0,179,
2025-06-24T07:55:49.498,0.0,61.056,76,0.186,0,176,0,177,
2025-06-24T07:55:49.802,0.0,64.735,76,0.186,0,178,0,180,
2025-06-24T07:55:50.105,0.0,68.347,76,0.186,0,176,0,174,
2025-06-24T07:55:50.405,0.0,71.019,76,0.186,0,176,0,183,
2025-06-24T07:55:50.690,0.0,72.026,76,0.186,0,176,0,179,
2025-06-24T07:55:50.975,0.0,67.501,76,0.186,0,176,0,177,
2025-06-24T07:55:51.261,0.0,63.298,76,0.186,0,176,0,182,
2025-06-24T07:55:51.547,0.0,61.338,76,0.186,0,176,0,177,
