Timestamp,OD,electrical conductivity,fluorescence,Hum%RH,Dirt1,AD Value1,Dirt2,AD Value2,Excel±Í«©: dm_air,Excel±Í«©: m_ls_opt_do
2025-06-25T17:36:23.102,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:24.097,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:25.178,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:26.188,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:27.076,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:27.979,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:28.913,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:29.833,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:30.784,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:31.880,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:32.928,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:33.863,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:34.734,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:35.669,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:36.619,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:37.634,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:38.633,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:39.632,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:40.598,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:41.564,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:42.483,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:36:43.449,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
