Timestamp,OD,electrical conductivity,fluorescence,Hum%RH,Dirt1,AD Value1,Dirt2,AD Value2,Excel标签: dm_air,Excel标签: m_ls_opt_do,Excel标签: m_ph,Excel标签: m_stirrer,Excel标签: m_temp,Excel标签: dm_o2,Excel标签: dm_spump1,Excel标签: dm_spump2,Excel标签: dm_spump3,Excel标签: dm_spump4
2025-06-25T17:39:29.638,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:39:31.541,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:39:33.594,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:39:35.657,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:39:37.704,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:39:39.750,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:39:41.785,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:39:43.690,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:39:45.662,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:39:47.697,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:39:49.619,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:39:51.514,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:39:53.596,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:39:55.597,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:39:57.586,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:39:59.560,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:01.736,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:03.769,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:05.836,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:07.710,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:09.727,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:11.728,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:13.713,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:15.591,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:17.386,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:19.356,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:21.304,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:23.266,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:25.158,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:27.080,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:29.032,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:30.937,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:32.859,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:34.719,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:36.690,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:38.637,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:40.634,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:42.611,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:44.497,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:46.439,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:48.362,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:50.216,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:52.150,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:54.132,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:55.914,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:57.831,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:40:59.642,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:01.466,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:03.351,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:05.202,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:07.340,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:09.510,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:11.607,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:13.576,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:15.365,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:17.262,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:19.143,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:20.962,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:22.819,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:24.808,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:26.638,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:28.496,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:30.314,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:32.067,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,
2025-06-25T17:41:33.899,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,46.0,,,
2025-06-25T17:41:35.685,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,46.0,,,
2025-06-25T17:41:37.651,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,46.0,,,
2025-06-25T17:41:39.501,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,46.0,,,
2025-06-25T17:41:41.277,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,46.0,,,
2025-06-25T17:41:43.131,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,46.0,,,
2025-06-25T17:41:44.955,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,,,,46.0,,,
2025-06-25T17:41:46.818,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,1.0,,,46.0,0.1,,
2025-06-25T17:41:48.595,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,1.0,,1.0,46.0,0.1,7.0,
2025-06-25T17:41:50.465,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,1.0,,1.0,46.0,0.1,7.0,
2025-06-25T17:41:52.417,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,1.0,,1.0,46.0,0.1,7.0,
2025-06-25T17:41:54.339,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,1.0,,1.0,46.0,0.1,7.0,
2025-06-25T17:41:55.942,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,1.0,,1.0,46.0,0.1,7.0,
2025-06-25T17:41:57.792,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,1.0,,1.0,46.0,0.1,7.0,
2025-06-25T17:41:59.602,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,1.0,,1.0,46.0,0.1,7.0,
2025-06-25T17:42:01.425,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,,1.0,,1.0,46.0,0.1,7.0,
2025-06-25T17:42:03.379,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,1.0,46.0,0.1,7.0,
2025-06-25T17:42:05.212,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,1.0,46.0,0.1,7.0,
2025-06-25T17:42:07.181,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,1.0,46.0,0.1,7.0,
2025-06-25T17:42:09.137,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,1.0,10-,0.1,7.0,
2025-06-25T17:42:11.034,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,1.0,10-,0.1,7.0,
2025-06-25T17:42:12.951,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,1.0,10-,0.1,7.0,
2025-06-25T17:42:14.954,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,1.0,10-,0.1,7.0,
2025-06-25T17:42:16.967,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,7.0,10-,0.1,7.0,
2025-06-25T17:42:18.927,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,1.0,10-,0.1,7.0,
2025-06-25T17:42:20.793,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,4.0,10-,0.1,7.0,
2025-06-25T17:42:22.685,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,4.0,10-,0.1,7.0,
2025-06-25T17:42:24.506,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,4.0,10-,0.1,7.0,
2025-06-25T17:42:26.326,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,4.0,10-,0.1,7.0,
2025-06-25T17:42:28.187,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,0.0001,10-,0.1,7.0,
2025-06-25T17:42:30.033,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,0.0001,10-,0.1,7.0,
2025-06-25T17:42:31.967,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,0.0001,10-,0.1,7.0,
2025-06-25T17:42:33.811,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,0.0001,10-,0.1,7.0,
2025-06-25T17:42:35.761,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,0.0001,10-,0.1,7.0,
2025-06-25T17:42:37.649,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,0.0001,10-,0.1,7.0,
2025-06-25T17:42:39.521,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,7.0,10-,0.1,7.0,
2025-06-25T17:42:41.429,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,7.0,10-,0.1,6.0,
2025-06-25T17:42:43.336,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,7.0,10-,0.1,6.0,
2025-06-25T17:42:45.220,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,7.0,10-,0.1,6.0,
2025-06-25T17:42:47.024,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,7.0,10-,0.1,6.0,
2025-06-25T17:42:49.035,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,7.0,10-,0.1,6.0,
2025-06-25T17:42:51.141,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,7.0,10-,0.1,6.0,
2025-06-25T17:42:52.964,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,7.0,10-,0.1,6.0,
2025-06-25T17:42:54.688,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,7.0,10-,0.1,6.0,
2025-06-25T17:42:56.540,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,1.0,10-,0.1,6.0,
2025-06-25T17:42:58.375,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,1.0,10-,0.1,6.0,
2025-06-25T17:43:00.187,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,1.0,10-,0.1,6.0,
2025-06-25T17:43:02.026,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,1.0,10-,0.1,6.0,
2025-06-25T17:43:03.826,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,1.0,10-,2.0,6.0,
2025-06-25T17:43:05.660,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,1.0,,1.0,10-,2.0,6.0,
2025-06-25T17:43:07.520,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,1.0,,1.0,10-,2.0,6.0,
2025-06-25T17:43:09.197,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,1.0,,1.0,10-,2.0,6.0,
2025-06-25T17:43:10.916,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,1.0,,1.0,10-,2.0,6.0,
2025-06-25T17:43:12.712,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,1.0,,1.0,10-,2.0,6.0,
2025-06-25T17:43:14.564,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,,,1.0,0.0001,,1.0,10-,2.0,6.0,
